state,variable,value,num_alcohol_impaired_driving_deaths
South Carolina,Excessive Drinking,713.6765439,1605
South Dakota,Excessive Drinking,1183.035554,237
Tennessee,Excessive Drinking,1320.731759,1264
Texas,Excessive Drinking,4558.42076,4917
Utah,Excessive Drinking,338.4104729,303
Vermont,Excessive Drinking,276.5979178,104
Virginia,Excessive Drinking,2275.192725,1169
Washington,Excessive Drinking,691.7532838,852
West Virginia,Excessive Drinking,676.2617488,385
Wisconsin,Excessive Drinking,1788.046996,1043
Wyoming,Excessive Drinking,433.5712324,219
Alabama,Smoke,1339.278504,1284
Alaska,Smoke,603.3870327,139
Arizona,Smoke,247.258666,1177
Arkansas,Smoke,1529.163651,690
California,Smoke,701.3127864,5266
Colorado,Smoke,915.0398436,996
Connecticut,Smoke,94.98895934,447
Delaware,Smoke,48.1513188,183
District of Columbia,Smoke,15.96559215,39
Florida,Smoke,1285.804787,3467
Georgia,Smoke,2903.75868,1548
Hawaii,Smoke,62.60353547,166
Idaho,Smoke,622.533261,342
Illinois,Smoke,1615.269618,1636
Indiana,Smoke,1833.751121,819
Iowa,Smoke,1568.540869,455
Kansas,Smoke,1699.462887,445
Kentucky,Smoke,2674.929757,984
Louisiana,Smoke,1394.747154,1252
Maine,Smoke,257.9636455,278
Maryland,Smoke,346.0934001,734
Massachusetts,Smoke,185.7813272,537
Michigan,Smoke,1457.997039,1432
Minnesota,Smoke,1303.595109,571
Mississippi,Smoke,1668.107306,663
Missouri,Smoke,2371.630117,1433
Montana,Smoke,944.6638737,439
Nebraska,Smoke,1360.084915,390
Nevada,Smoke,298.3605357,467
New Hampshire,Smoke,148.4627272,181
New Jersey,Smoke,295.4359839,637
New Mexico,Smoke,563.1984957,567
New York,Smoke,966.690045,1229
North Carolina,Smoke,1747.506506,2051
North Dakota,Smoke,906.3440139,259
Ohio,Smoke,1689.554028,1798
Oklahoma,Smoke,1466.29212,873
Oregon,Smoke,554.8956988,695
Pennsylvania,Smoke,1201.952311,1583
Rhode Island,Smoke,66.48484105,105
South Carolina,Smoke,830.1004713,1605
South Dakota,Smoke,1125.08077,237
Tennessee,Smoke,2122.684344,1264
Texas,Smoke,3795.451786,4917
Utah,Smoke,291.4378692,303
Vermont,Smoke,204.6117547,104
Virginia,Smoke,2259.828624,1169
Washington,Smoke,548.4080682,852
West Virginia,Smoke,1258.544282,385
Wisconsin,Smoke,1158.24176,1043
Wyoming,Smoke,369.2847191,219
